Weight,Sex,Age,Continent,Height Class
150,male,25,Africa,4ft
120,female,30,Africa,3ft
180,male,35,Africa,6f+
130,female,28,Africa,3ft
160,male,40,Africa,4ft
140,female,32,Africa,3ft
170,male,27,Africa,5ft
110,female,29,Africa,3ft
190,male,33,Africa,6f+
200,male,31,Africa,6f+
170,female,26,Africa,5ft
150,male,29,Africa,4ft
120,female,30,Africa,3ft
180,male,35,Africa,6f+
130,female,28,Africa,3ft
160,male,40,Africa,4ft
140,female,32,Africa,3ft
170,male,27,Africa,5ft
110,female,29,Africa,3ft
190,male,33,Africa,6f+
200,male,31,Africa,6f+
170,female,26,Africa,5ft
150,male,25,Antarctica,4ft
120,female,30,Antarctica,3ft
180,male,35,Antarctica,6f+
130,female,28,Antarctica,3ft
160,male,40,Antarctica,4ft
140,female,32,Antarctica,3ft
170,male,27,Antarctica,5ft
110,female,29,Antarctica,3ft
190,male,33,Antarctica,6f+
200,male,31,Antarctica,6f+
170,female,26,Antarctica,5ft
150,male,29,Antarctica,4ft
120,female,30,Antarctica,3ft
180,male,35,Antarctica,6f+
130,female,28,Antarctica,3ft
160,male,40,Antarctica,4ft
140,female,32,Antarctica,3ft
170,male,27,Antarctica,5ft
110,female,29,Antarctica,3ft
190,male,33,Antarctica,6f+
200,male,31,Antarctica,6f+
170,female,26,Antarctica,5ft
150,male,25,Asia,4ft
120,female,30,Asia,3ft
180,male,35,Asia,6f+
130,female,28,Asia,3ft
160,male,40,Asia,4ft
140,female,32,Asia,3ft
170,male,27,Asia,5ft
110,female,29,Asia,3ft
190,male,33,Asia,6f+
200,male,31,Asia,6f+
170,female,26,Asia,5ft
150,male,29,Asia,4ft
120,female,30,Asia,3ft
180,male,35,Asia,6f+
130,female,28,Asia,3ft
160,male,40,Asia,4ft
140,female,32,Asia,3ft
170,male,27,Asia,5ft
110,female,29,Asia,3ft
